peak_date,trough_date,recovery_date,max_drawdown,duration_to_trough_days,duration_to_recovery_days
2020-02-19,2020-03-23,2020-06-08,-0.3893,33,110
2021-11-16,2022-09-26,2023-08-29,-0.3817,314,651
2018-09-14,2018-12-24,2019-07-23,-0.2504,101,312
2024-12-04,2025-04-08,2025-07-02,-0.2445,125,210
2023-09-01,2023-10-27,2023-12-13,-0.1455,56,103
2020-06-08,2020-06-26,2020-08-12,-0.1163,18,65
2024-07-16,2024-08-07,2024-09-17,-0.0956,22,63
2018-01-31,2018-02-08,2018-08-03,-0.0951,8,184
2025-10-27,2025-11-20,2025-12-08,-0.0864,24,42
2024-03-28,2024-04-19,2024-05-15,-0.0852,22,48
